n1,n_id,g1,g2,g3,g4,g5,g6,l1,l2,l3,l4,ppm
4,13,0.5,5.5,0.234282,0.5,0.734282,0.458134,1,0.382344,0.468565,0.468565,-655.683682499524
4,13,0.5,5.5,0.234282,0.5,0.734282,0.458134,0,0.473954,0,0.822855,-649.857119016329
4,14,1,5,0.351423,0.610051,0.557137,-0.010992,0.813401,0.142355,0.468565,0.64571,-661.679768676314
4,14,1,5,0.351423,0.610051,0.557137,-0.010992,0.813401,0.014417,0.468565,0.468565,-656.02448638643
4,14,1,5,0.351423,0.610051,0.557137,-0.010992,0,-0.136843,0,0.64571,-649.742980055289
4,14,1,5,0.351423,0.610051,0.557137,-0.010992,0.813401,-0.063896,0.468565,0.468565,-656.351632924095
4,15,1,5,0.351423,0.75,0.734282,0.564672,1,0.549873,0.468565,0.822855,-656.635843550071
4,15,1,5,0.351423,0.75,0.734282,0.564672,1,0.602954,0.468565,0.468565,-661.883935510086
4,15,1,5,0.351423,0.75,0.734282,0.564672,1,0.650367,0.468565,0.822855,-656.514739988123
4,15,1,5,0.351423,0.75,0.734282,0.564672,0,0.455494,0,0.822855,-649.777582797758
4,16,2,4,0.468565,0.79644,0.557137,0.652578,0.791369,0.764497,0.468565,0.468565,-659.741552868816
4,16,2,4,0.468565,0.79644,0.557137,0.652578,0.692679,0.502932,0.468565,0.468565,-654.115244393038
4,16,2,4,0.468565,0.79644,0.557137,0.652578,0.775595,0.737938,0.468565,0.64571,-654.227521899315
4,16,2,4,0.468565,0.79644,0.557137,0.652578,0.926119,0.604944,0.468565,0.64571,-657.107073555082
4,17,1,5,0.468565,1,0.64571,0.657997,1,0.736085,0.468565,0.64571,-655.83715276658
4,17,1,5,0.468565,1,0.64571,0.657997,1,0.736085,0.468565,0.64571,-656.028504679723
4,17,1,5,0.468565,1,0.64571,0.657997,1,0.655865,0.468565,0.64571,-656.028470605344
4,17,1,5,0.468565,1,0.64571,0.657997,1,0.503951,0.468565,0.64571,-655.837467118308
4,18,2,4,0.468565,0.504059,0.468565,0.176139,0.504059,0.219358,0.468565,0.468565,-662.6674068363
4,18,2,4,0.468565,0.504059,0.468565,0.176139,0.504059,0.219358,0.468565,0.468565,-662.667610837919
4,18,2,4,0.468565,0.504059,0.468565,0.176139,0.504059,0.235807,0.468565,0.468565,-662.852963630943
4,18,2,4,0.468565,0.504059,0.468565,0.176139,0.504059,0.030034,0.468565,0.468565,-662.907280267103
4,19,0,6,0,0,0.468565,-0.008007,0,0.141929,0,0.468565,-649.766883014148
4,19,0,6,0,0,0.468565,-0.008007,0,-0.033252,0,0.468565,-649.845086765937
4,19,0,6,0,0,0.468565,-0.008007,0,-0.07007,0,0.468565,-649.766859546759
4,19,0,6,0,0,0.468565,-0.008007,0,-0.070633,0,0.468565,-649.766449999589
4,20,0,6,0,0,1,0.468565,0,0.468565,0,1,-649.891786612378
4,20,0,6,0,0,1,0.468565,0,0.468565,0,1,-649.888182744858
4,20,0,6,0,0,1,0.468565,0,0.468565,0,1,-649.891979353518
4,20,0,6,0,0,1,0.468565,0,0.468565,0,1,-649.880542145813
4,21,2,4,0.468565,1,0.64571,0.914281,1,0.914281,0.468565,0.64571,-663.388815741942
4,21,2,4,0.468565,1,0.64571,0.914281,1,0.914281,0.468565,0.64571,-663.38882751994
4,21,2,4,0.468565,1,0.64571,0.914281,1,0.914281,0.468565,0.64571,-664.300118346402
4,21,2,4,0.468565,1,0.64571,0.914281,1,0.914281,0.468565,0.64571,-664.300324010877
4,22,3,3,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,-644.231063208841
4,22,3,3,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,-644.200264337032
4,22,3,3,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,-644.198182254897
4,22,3,3,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,0.468565,-644.418609169581
5,1,0.8,5.2,0.281139,0.488041,0.574852,0.319985,0.813401,-0.114248,0.468565,0.468565,-660.007593061583
5,1,0.8,5.2,0.281139,0.488041,0.574852,0.319985,0.813401,0.535927,0.468565,0.601423,-655.724775083789
5,1,0.8,5.2,0.281139,0.488041,0.574852,0.319985,0.813401,0.491892,0.468565,0.601423,-655.737541630766
5,1,0.8,5.2,0.281139,0.488041,0.574852,0.319985,0,0.399075,0,0.601423,-649.288394167114
